Partner_Group,Site_ID,Site_Name,Latitude,Longitude,Elevation_in_Meters,State,Species_ID,Genus,Species,Common_Name,Kingdom,Species_Functional_Type,Species_Category,USDA_PLANTS_Symbol,ITIS_Number,Phenophase_ID,Phenophase_Category,Phenophase_Description,First_Yes_Sample_Size,Mean_First_Yes_Year,Mean_First_Yes_DOY,Mean_First_Yes_Julian_Date,SE_First_Yes_In_Days,SD_First_Yes_In_Days,Min_First_Yes_DOY,Max_First_Yes_DOY,Median_First_Yes_DOY,Mean_NumDays_Since_Prior_No,SE_NumDays_Since_Prior_No,SD_NumDays_Since_Prior_No,Last_Yes_Sample_Size,Mean_Last_Yes_Year,Mean_Last_Yes_DOY,Mean_Last_Yes_Julian_Date,SE_Last_Yes_in_Days,SD_Last_Yes_in_Days,Min_Last_Yes_DOY,Max_Last_Yes_DOY,Median_Last_Yes_DOY,Mean_NumDays_Until_Next_No,SE_NumDays_Until_Next_No,SD_NumDays_Until_Next_No,Num_Individuals_with_Multiple_FirstY,Multiple_FirstY_Individual_IDs,Observed_Status_Conflict_Flag,Observed_Status_Conflict_Flag_Individual_IDs,Mean_AGDD,SE_AGDD,Mean_AGDD_in_F,SE_AGDD_in_F,Tmax_Winter,Tmax_Spring,Tmax_Summer,Tmax_Fall,Tmin_Winter,Tmin_Spring,Tmin_Summer,Tmin_Fall,Prcp_Winter,Prcp_Spring,Prcp_Summer,Prcp_Fall,Mean_Accum_Prcp,SE_Accum_Prcp,Mean_Daylength,SE_Daylength
-9999,258,PPN_9050002,39.184269,-106.854614,2438,CO,65,Amelanchier,utahensis,Utah serviceberry,Plantae,Deciduous broadleaf,-9999,AMUT,25121,180,Leaves,>=75% of full leaf size (deciduous),1,2009,139,2454971,-9999,-9999,139,139,139,4,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',369.25,-9999,664.65,-9999,1.81,11.54,23.16,14.4,-11.25,-2.97,6.08,-1.49,201,164,110,96,217,-9999,51494,-9999
-9999,258,PPN_9050002,39.184269,-106.854614,2438,CO,65,Amelanchier,utahensis,Utah serviceberry,Plantae,Deciduous broadleaf,-9999,AMUT,25121,371,Leaves,Breaking leaf buds,1,2009,132,2454964,-9999,-9999,132,132,132,13,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',284.75,-9999,512.55,-9999,1.81,11.54,23.16,14.4,-11.25,-2.97,6.08,-1.49,201,164,110,96,217,-9999,50458,-9999
-9999,258,PPN_9050002,39.184269,-106.854614,2438,CO,65,Amelanchier,utahensis,Utah serviceberry,Plantae,Deciduous broadleaf,-9999,AMUT,25121,483,Leaves,Leaves,1,2009,135,2454967,-9999,-9999,135,135,135,3,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',318.5,-9999,573.3,-9999,1.81,11.54,23.16,14.4,-11.25,-2.97,6.08,-1.49,201,164,110,96,217,-9999,50803,-9999
-9999,258,PPN_9050002,39.184269,-106.854614,2438,CO,108,Cercocarpus,ledifolius,curl-leaf mountain mahogany,Plantae,Drought deciduous broadleaf,-9999,CELE3,25134,371,Leaves,Breaking leaf buds,1,2009,114,2454946,-9999,-9999,114,114,114,16,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',143.5,-9999,258.3,-9999,1.81,11.54,23.16,14.4,-11.25,-2.97,6.08,-1.49,201,164,110,96,195,-9999,48384,-9999
-9999,258,PPN_9050002,39.184269,-106.854614,2438,CO,108,Cercocarpus,ledifolius,curl-leaf mountain mahogany,Plantae,Drought deciduous broadleaf,-9999,CELE3,25134,484,Leaves,Young leaves (tree/shrub),1,2009,114,2454946,-9999,-9999,114,114,114,16,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',143.5,-9999,258.3,-9999,1.81,11.54,23.16,14.4,-11.25,-2.97,6.08,-1.49,201,164,110,96,195,-9999,48384,-9999
-9999,258,PPN_9050002,39.184269,-106.854614,2438,CO,156,Cirsium,arvense,Canada thistle,Plantae,Forb,"Invasive Plants,Calibration,Nectar Connectors Campaign",CIAR4,36335,482,Leaves,Initial growth (forbs),1,2009,103,2454935,-9999,-9999,103,103,103,5,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',87.25,-9999,157.05,-9999,1.81,11.54,23.16,14.4,-11.25,-2.97,6.08,-1.49,201,164,110,96,177,-9999,46656,-9999
-9999,258,PPN_9050002,39.184269,-106.854614,2438,CO,156,Cirsium,arvense,Canada thistle,Plantae,Forb,"Invasive Plants,Calibration,Nectar Connectors Campaign",CIAR4,36335,488,Leaves,Leaves (forbs),1,2009,114,2454946,-9999,-9999,114,114,114,11,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',143.5,-9999,258.3,-9999,1.81,11.54,23.16,14.4,-11.25,-2.97,6.08,-1.49,201,164,110,96,195,-9999,48384,-9999
-9999,261,PPN_9050005,39.098499,-104.834297,2191,CO,36,Syringa,vulgaris,common lilac,Plantae,Deciduous broadleaf,"Ornamental,Calibration",SYVU,32996,373,Leaves,Breaking leaf buds (lilac/honeysuckle),4,2009,126,2454958,0.75,1.5,125,128,125,10,3,6,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',482.1875,9.9375,867.9375,17.8875,6.63,14.5,24.52,16.5,-7.93,-0.46,9.35,1.1,55,221,246,98,193,0,49852.5,86.5
-9999,261,PPN_9050005,39.098499,-104.834297,2191,CO,36,Syringa,vulgaris,common lilac,Plantae,Deciduous broadleaf,"Ornamental,Calibration",SYVU,32996,374,Leaves,All leaf buds broken (lilac/honeysuckle),6,2009,127,2454959,0.632455532034,1.54919333848,125,128,128,5.66666666667,1.97765292989,4.84424056656,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',498.75,8.38003579945,897.75,15.084064439,6.63,14.5,24.52,16.5,-7.93,-0.46,9.35,1.1,55,221,246,98,193,0,49996.6666667,72.9432046946
-9999,272,PPN_9050025,39.299999,-108.900002,1490,CO,35,Syringa,chinensis,Red Rothomagensis lilac,Plantae,Deciduous broadleaf,"Ornamental,Cloned",SYCH3,-9999,374,Leaves,All leaf buds broken (lilac/honeysuckle),2,2009,110,2454942,0,0,110,110,110,4,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',507.5,0,913.5,0,6.05,20,32.51,21.1,-6.3,3.88,14.99,4.45,70,73,41,55,57,0,47693,0
-9999,272,PPN_9050025,39.299999,-108.900002,1490,CO,36,Syringa,vulgaris,common lilac,Plantae,Deciduous broadleaf,"Ornamental,Calibration",SYVU,32996,373,Leaves,Breaking leaf buds (lilac/honeysuckle),2,2009,110,2454942,0,0,110,110,110,4,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',507.5,0,913.5,0,6.05,20,32.51,21.1,-6.3,3.88,14.99,4.45,70,73,41,55,57,0,47693,0
-9999,272,PPN_9050025,39.299999,-108.900002,1490,CO,36,Syringa,vulgaris,common lilac,Plantae,Deciduous broadleaf,"Ornamental,Calibration",SYVU,32996,374,Leaves,All leaf buds broken (lilac/honeysuckle),2,2009,110,2454942,0,0,110,110,110,4,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',507.5,0,913.5,0,6.05,20,32.51,21.1,-6.3,3.88,14.99,4.45,70,73,41,55,57,0,47693,0
-9999,310,PPN_9050075,38.983101,-104.690399,2210,CO,17,Fragaria,virginiana,Virginia strawberry,Plantae,Forb,Calibration,FRVI,24639,482,Leaves,Initial growth (forbs),1,2009,131,2454963,-9999,-9999,131,131,131,10,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',552.5,-9999,994.5,-9999,6.57,14.79,24.74,16.39,-7.95,-0.38,9.63,1.07,52,208,325,107,176,-9999,50458,-9999
-9999,310,PPN_9050075,38.983101,-104.690399,2210,CO,17,Fragaria,virginiana,Virginia strawberry,Plantae,Forb,Calibration,FRVI,24639,488,Leaves,Leaves (forbs),1,2009,131,2454963,-9999,-9999,131,131,131,10,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',552.5,-9999,994.5,-9999,6.57,14.79,24.74,16.39,-7.95,-0.38,9.63,1.07,52,208,325,107,176,-9999,50458,-9999
-9999,310,PPN_9050075,38.983101,-104.690399,2210,CO,156,Cirsium,arvense,Canada thistle,Plantae,Forb,"Invasive Plants,Calibration,Nectar Connectors Campaign",CIAR4,36335,482,Leaves,Initial growth (forbs),1,2009,131,2454963,-9999,-9999,131,131,131,11,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',552.5,-9999,994.5,-9999,6.57,14.79,24.74,16.39,-7.95,-0.38,9.63,1.07,52,208,325,107,176,-9999,50458,-9999
-9999,310,PPN_9050075,38.983101,-104.690399,2210,CO,156,Cirsium,arvense,Canada thistle,Plantae,Forb,"Invasive Plants,Calibration,Nectar Connectors Campaign",CIAR4,36335,488,Leaves,Leaves (forbs),1,2009,131,2454963,-9999,-9999,131,131,131,11,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',552.5,-9999,994.5,-9999,6.57,14.79,24.74,16.39,-7.95,-0.38,9.63,1.07,52,208,325,107,176,-9999,50458,-9999
-9999,310,PPN_9050075,38.983101,-104.690399,2210,CO,189,Taraxacum,officinale,common dandelion,Plantae,Forb,Calibration,TAOF,36213,482,Leaves,Initial growth (forbs),1,2009,131,2454963,-9999,-9999,131,131,131,12,-9999,-9999,1,2009,105,2454937,-9999,-9999,105,105,105,14,-9999,-9999,1,'3539',-9999,'',552.5,-9999,994.5,-9999,6.57,14.79,24.74,16.39,-7.95,-0.38,9.63,1.07,52,208,325,107,176,-9999,50458,-9999
-9999,310,PPN_9050075,38.983101,-104.690399,2210,CO,206,Prunus,americana,American plum,Plantae,Deciduous broadleaf,Ornamental,PRAM,24763,180,Leaves,>=75% of full leaf size (deciduous),1,2009,166,2454998,-9999,-9999,166,166,166,26,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',1018.5,-9999,1833.3,-9999,6.57,14.79,24.74,16.39,-7.95,-0.38,9.63,1.07,52,208,325,107,288,-9999,52877,-9999
-9999,310,PPN_9050075,38.983101,-104.690399,2210,CO,206,Prunus,americana,American plum,Plantae,Deciduous broadleaf,Ornamental,PRAM,24763,181,Leaves,>=50% of leaves colored (deciduous),1,2009,140,2454972,-9999,-9999,140,140,140,9,-9999,-9999,1,2009,140,2454972,-9999,-9999,140,140,140,26,-9999,-9999,0,'',-9999,'',680.75,-9999,1225.35,-9999,6.57,14.79,24.74,16.39,-7.95,-0.38,9.63,1.07,52,208,325,107,179,-9999,51494,-9999
-9999,310,PPN_9050075,38.983101,-104.690399,2210,CO,206,Prunus,americana,American plum,Plantae,Deciduous broadleaf,Ornamental,PRAM,24763,183,Leaves,>=50% of leaves fallen (deciduous),0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2009,131,2454963,-9999,-9999,131,131,131,9,-9999,-9999,0,'',-9999,'',-9999,-9999,-9999,-9999,6.57,14.79,24.74,16.39,-7.95,-0.38,9.63,1.07,52,208,325,107,-9999,-9999,-9999,-9999
-9999,310,PPN_9050075,38.983101,-104.690399,2210,CO,206,Prunus,americana,American plum,Plantae,Deciduous broadleaf,Ornamental,PRAM,24763,184,Leaves,All leaves fallen (deciduous),0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,2009,140,2454972,-9999,-9999,140,140,140,26,-9999,-9999,0,'',-9999,'',-9999,-9999,-9999,-9999,6.57,14.79,24.74,16.39,-7.95,-0.38,9.63,1.07,52,208,325,107,-9999,-9999,-9999,-9999
-9999,310,PPN_9050075,38.983101,-104.690399,2210,CO,206,Prunus,americana,American plum,Plantae,Deciduous broadleaf,Ornamental,PRAM,24763,371,Leaves,Breaking leaf buds,1,2009,140,2454972,-9999,-9999,140,140,140,9,-9999,-9999,1,2009,140,2454972,-9999,-9999,140,140,140,26,-9999,-9999,0,'',-9999,'',680.75,-9999,1225.35,-9999,6.57,14.79,24.74,16.39,-7.95,-0.38,9.63,1.07,52,208,325,107,179,-9999,51494,-9999
-9999,310,PPN_9050075,38.983101,-104.690399,2210,CO,206,Prunus,americana,American plum,Plantae,Deciduous broadleaf,Ornamental,PRAM,24763,483,Leaves,Leaves,1,2009,140,2454972,-9999,-9999,140,140,140,9,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',680.75,-9999,1225.35,-9999,6.57,14.79,24.74,16.39,-7.95,-0.38,9.63,1.07,52,208,325,107,179,-9999,51494,-9999
-9999,703,PPN_9050020,37.576965,-106.100365,2335,CO,27,Populus,tremuloides,quaking aspen,Plantae,Deciduous broadleaf,"Ornamental,Allergen,Calibration,Green Wave Campaign",POTR5,195773,180,Leaves,>=75% of full leaf size (deciduous),2,2009,133,2454965,2,2.82842712475,131,135,133,2,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',384.75,26.75,692.55,48.15,2.13,15.22,25.05,16.41,-14.74,-3.18,5.72,-3.78,28,71,73,24,45,0,50285,173
-9999,703,PPN_9050020,37.576965,-106.100365,2335,CO,27,Populus,tremuloides,quaking aspen,Plantae,Deciduous broadleaf,"Ornamental,Allergen,Calibration,Green Wave Campaign",POTR5,195773,181,Leaves,>=50% of leaves colored (deciduous),2,2009,279,2455111,0,0,279,279,279,3,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',2416,0,4348.8,0,2.13,15.22,25.05,16.41,-14.74,-3.18,5.72,-3.78,28,71,73,24,175,0,40781,0
-9999,703,PPN_9050020,37.576965,-106.100365,2335,CO,27,Populus,tremuloides,quaking aspen,Plantae,Deciduous broadleaf,"Ornamental,Allergen,Calibration,Green Wave Campaign",POTR5,195773,182,Leaves,All leaves colored (deciduous),2,2009,286,2455118,0,0,286,286,286,4,0,0,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',2459.25,0,4426.65,0,2.13,15.22,25.05,16.41,-14.74,-3.18,5.72,-3.78,28,71,73,24,183,0,39744,0
-9999,703,PPN_9050020,37.576965,-106.100365,2335,CO,27,Populus,tremuloides,quaking aspen,Plantae,Deciduous broadleaf,"Ornamental,Allergen,Calibration,Green Wave Campaign",POTR5,195773,183,Leaves,>=50% of leaves fallen (deciduous),1,2009,292,2455124,-9999,-9999,292,292,292,6,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',2509,-9999,4516.2,-9999,2.13,15.22,25.05,16.41,-14.74,-3.18,5.72,-3.78,28,71,73,24,184,-9999,39053,-9999
-9999,703,PPN_9050020,37.576965,-106.100365,2335,CO,27,Populus,tremuloides,quaking aspen,Plantae,Deciduous broadleaf,"Ornamental,Allergen,Calibration,Green Wave Campaign",POTR5,195773,184,Leaves,All leaves fallen (deciduous),2,2009,292,2455124,5,7.07106781187,287,297,292,1.5,0.5,0.707106781187,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',2497.375,30.125,4495.275,54.225,2.13,15.22,25.05,16.41,-14.74,-3.18,5.72,-3.78,28,71,73,24,201.5,17.5,39053,691
-9999,703,PPN_9050020,37.576965,-106.100365,2335,CO,27,Populus,tremuloides,quaking aspen,Plantae,Deciduous broadleaf,"Ornamental,Allergen,Calibration,Green Wave Campaign",POTR5,195773,371,Leaves,Breaking leaf buds,1,2009,127,2454959,-9999,-9999,127,127,127,1,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',305.75,-9999,550.35,-9999,2.13,15.22,25.05,16.41,-14.74,-3.18,5.72,-3.78,28,71,73,24,45,-9999,49766,-9999
-9999,703,PPN_9050020,37.576965,-106.100365,2335,CO,27,Populus,tremuloides,quaking aspen,Plantae,Deciduous broadleaf,"Ornamental,Allergen,Calibration,Green Wave Campaign",POTR5,195773,483,Leaves,Leaves,1,2009,127,2454959,-9999,-9999,127,127,127,1,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',305.75,-9999,550.35,-9999,2.13,15.22,25.05,16.41,-14.74,-3.18,5.72,-3.78,28,71,73,24,45,-9999,49766,-9999
-9999,703,PPN_9050020,37.576965,-106.100365,2335,CO,36,Syringa,vulgaris,common lilac,Plantae,Deciduous broadleaf,"Ornamental,Calibration",SYVU,32996,373,Leaves,Breaking leaf buds (lilac/honeysuckle),1,2009,116,2454948,-9999,-9999,116,116,116,4,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,'',-9999,'',198.5,-9999,357.3,-9999,2.13,15.22,25.05,16.41,-14.74,-3.18,5.72,-3.78,28,71,73,24,42,-9999,48384,-9999
